name,address,lat,lng,rating,total_reviews,price_level,phone,website,is_partner,discount_value,open_hours,weekday_text,top_review,place_id
Goki Cafe,"Jl. Sokajati No.03, RT.01/RW.03, Bantarsoka, Kec. Purwokerto Bar., Kabupaten Banyumas, Jawa Tengah 53133, Indonesia",-7.4244725,109.2218723,4.4,1113,2,0838-6233-3223,,False,0,11:00 - 00:00,"Monday: 11:00 AM – 12:00 AM
Tuesday: 11:00 AM – 12:00 AM
Wednesday: 11:00 AM – 12:00 AM
Thursday: 11:00 AM – 12:00 AM
Friday: 11:00 AM – 12:00 AM
Saturday: 11:00 AM – 12:00 AM
Sunday: 11:00 AM – 12:00 AM","Their cafe located near underpass and also train bridge, despite its nice place.. the food is not that good, their indonesian platter is kinda bland and they take long time to serve.
Their signature ice coffee is okay. I hope they do improve in food taste in future",ChIJTUTtpT9fZS4Rig_ZpvCRVUA
Cuci Mobil | Salon Mobil | Cafe & Resto | SPKLU - Kargloss Autocare & Cafe Purwokerto,"Jl. Raya Baturaden No.KM 5, Karang Blimbing, Pabuaran, Purwokerto, Jawa Tengah, 53124, Indonesia",-7.386805700000001,109.2431763,4.4,947,2,0818-262-684,http://www.kargloss.com/,False,0,07:00 - 21:00,"Monday: 7:00 AM – 9:00 PM
Tuesday: 7:00 AM – 9:00 PM
Wednesday: 7:00 AM – 9:00 PM
Thursday: 7:00 AM – 9:00 PM
Friday: 7:00 AM – 9:00 PM
Saturday: 7:00 AM – 10:00 PM
Sunday: 7:00 AM – 10:00 PM","We can spend time in the cafe while waiting they wash our car.

They have lots of options for the menu, western food or indonesian food (fried rice).",ChIJ475ukwVfZS4RCgnqPB9Jb9Y
Alas House,"Jl. Gelora Indah I No.36, Mangunjaya, Purwokerto Lor, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53114, Indonesia",-7.420695699999999,109.2512767,4.6,793,0,0822-4246-3875,http://www.housealas.com/,False,0,09:00 - 01:00,"Monday: 9:00 AM – 1:00 AM
Tuesday: 9:00 AM – 1:00 AM
Wednesday: 9:00 AM – 1:00 AM
Thursday: 9:00 AM – 1:00 AM
Friday: 9:00 AM – 1:00 AM
Saturday: 9:00 AM – 1:00 AM
Sunday: 9:00 AM – 1:00 AM","The place and the ambiance is very nice, love to enjoy and spend my time here. But I don’t know what’s going on with the cashier, specially the girl. She is very rude?! Not only her attitude but also the face she gave to the customer. I’ve been here often, but she never change her attitude. For a good place like this, she really ruined the vibe.",ChIJQbK6HAZfZS4R4s5iJtr2cB8
Warak Koffie,"Belakang alfamidi super Purwokerto, Jl. Profesor DR. HR Boenyamin, Sumampir Wetan, Pabuaran, Kec. Purwokerto Utara, Jawa Tengah, 53121, Indonesia",-7.3983944,109.2456756,4.3,645,1,0857-3755-8773,http://www.istagram.com/warakkoffie,False,0,24 Jam,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours",Great place to chill the night with your besties ! High quality coffee with cheap price .,ChIJ2zmXHv1eZS4RsM97r03mPqM
Nicetime Cafe Purwokerto,"Ruko Perhutani No, Pereng, Sokanegara, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53115, Indonesia",-7.4249971,109.228176,4.4,588,2,(0281) 6510422,,False,0,24 Jam,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours",NICE fVcXin6 TIME...,ChIJz5sgYWReZS4RbI1NnOcJg14
Milkmax Milkshake 7 - SMA,"Jl. Ksatrian, Karangjengkol, Sokanegara, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53115, Indonesia",-7.4194091,109.2364648,4.5,484,1,0812-2015-1100,,False,0,09:00 - 21:00,"Monday: 9:00 AM – 9:00 PM
Tuesday: 9:00 AM – 9:00 PM
Wednesday: 9:00 AM – 9:00 PM
Thursday: 9:00 AM – 9:00 PM
Friday: 9:00 AM – 9:00 PM
Saturday: 9:00 AM – 9:00 PM
Sunday: 9:00 AM – 9:00 PM","Pretty good, but still needs better improvements in using better flavour. The original milk was good.",ChIJ-fZa3VleZS4RPeaBNhcMOD8
GREY Resto & Coffee,"Jl. Jatisari No.22, Karangmiri, Sumampir, Kec. Purwokerto Utara, Kabupaten Banyumas, Jawa Tengah 53125, Indonesia",-7.401176,109.2403127,4.7,415,0,0811-2613-101,https://instagram.com/grey_cte?utm_medium=copy_link,False,0,11:00 - 23:00,"Monday: 11:00 AM – 11:00 PM
Tuesday: 11:00 AM – 11:00 PM
Wednesday: 11:00 AM – 11:00 PM
Thursday: 11:00 AM – 11:00 PM
Friday: 11:00 AM – 11:00 PM
Saturday: 11:00 AM – 12:00 AM
Sunday: 11:00 AM – 11:00 PM","One of my favorite cafés in town! The pastry pizza is delightful, unique, and authentic. So far, it’s the only one of its kind in town. Highly recommended! The snack platter is also great, and the s'mores pie tastes amazing with its sweet and tangy strawberry filling.
We had a wonderful time here!",ChIJrUbytv5eZS4RbZ_5IFn0Kbs
Warkop Abang,"Gg. II Baseball, Mangunjaya, Purwokerto Lor, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53113, Indonesia",-7.417921,109.2508871,4.7,404,0,0851-2804-9926,,False,0,09:00 - 01:00,"Monday: 9:00 AM – 1:00 AM
Tuesday: 9:00 AM – 1:00 AM
Wednesday: 9:00 AM – 1:00 AM
Thursday: 9:00 AM – 1:00 AM
Friday: 9:00 AM – 1:00 AM
Saturday: 9:00 AM – 1:00 AM
Sunday: 9:00 AM – 1:00 AM",All good,ChIJSSoZPwBfZS4RKIIfHR07tEA
Ramsha Sisha and Cafe,"H6WV+MG3, Pakembaran, Bancarkembar, Kec. Purwokerto Utara, Kabupaten Banyumas, Jawa Tengah 53125, Indonesia",-7.4033694,109.2437979,4.4,337,0,0813-1314-9359,https://www.instagram.com/ramsha_pwt/?hl=en,False,0,15:00 - 03:00,"Monday: 3:00 PM – 3:00 AM
Tuesday: 3:00 PM – 3:00 AM
Wednesday: 3:00 PM – 3:00 AM
Thursday: 3:00 PM – 3:00 AM
Friday: 3:00 PM – 3:00 AM
Saturday: 3:00 PM – 3:00 AM
Sunday: 3:00 PM – 3:00 AM","It so nice until i saw the oldschool seat, it looks dirty and weird, but the other seats were fine. But also the restroom is not as good as you expected, kinda scary",ChIJ15vGr_teZS4RII5FoG_xIvE
SKY • 7 Cafe,"Jl. Sokajati No.9, Bantarsoka, Kec. Purwokerto Bar., Kabupaten Banyumas, Jawa Tengah 53133, Indonesia",-7.425093700000001,109.2219419,4.5,336,2,0813-9336-6999,https://instagram.com/skysevencafe?igshid=1p3v203vndmu1,False,0,11:00 - 23:00,"Monday: 11:00 AM – 11:00 PM
Tuesday: 11:00 AM – 11:00 PM
Wednesday: 11:00 AM – 11:00 PM
Thursday: 11:00 AM – 11:00 PM
Friday: 11:00 AM – 11:00 PM
Saturday: 11:00 AM – 12:00 AM
Sunday: 11:00 AM – 12:00 AM","Sky 7 cafe's a very cozy place, instagramable, you want to sit inside okay bangettt, mau to see the scenery around the underpass you can sit outside and stay instagramable too. And you can also sit on the rooftop and still present an epic view.Recomended banget for you guys.
Dari segi menu juga gakalah enakkk.. Ebl ebl ebl, enak bgt lowch😍",ChIJLVWQF35fZS4RVe-zy_TPZgQ
Kopi Kenangan - Ruko Bunyamin Purwokerto,"Jl. Profesor DR. HR Boenyamin No.106a, Sumampir Wetan, Pabuaran, Kec. Purwokerto Utara, Kabupaten Banyumas, Jawa Tengah 53125, Indonesia",-7.3987501,109.2449077,4.9,328,2,,http://www.kopikenangan.com/,False,0,07:00 - 23:30,"Monday: 7:00 AM – 11:30 PM
Tuesday: 7:00 AM – 11:30 PM
Wednesday: 7:00 AM – 11:30 PM
Thursday: 7:00 AM – 11:30 PM
Friday: 7:00 AM – 11:30 PM
Saturday: 7:00 AM – 11:30 PM
Sunday: 7:00 AM – 11:30 PM","clean and well prepared, good foods, and nice services",ChIJr1GR7TlfZS4RFQEWYqyrLJA
W-UP CAFE (Food & Coffee),"Jl. Sokajati No.5, RT.1/RW.3, Bantarsoka, Kec. Purwokerto Bar., Kabupaten Banyumas, Jawa Tengah 53133, Indonesia",-7.424665399999999,109.2219268,4.4,326,2,0857-9980-1116,,False,0,10:00 - 23:00,"Monday: 10:00 AM – 11:00 PM
Tuesday: 10:00 AM – 11:00 PM
Wednesday: 10:00 AM – 11:00 PM
Thursday: 10:00 AM – 11:00 PM
Friday: 10:00 AM – 11:00 PM
Saturday: 10:00 AM – 11:30 PM
Sunday: 10:00 AM – 11:30 PM","Everything was good in it
Good food, good drink, good service, good view",ChIJf9_zbZJfZS4Rx_azhOYkI7I
Kedai Om Jul,"H6QW+GCG, Glempang, Bancarkembar, Kec. Purwokerto Utara, Kabupaten Banyumas, Jawa Tengah 53121, Indonesia",-7.4111772,109.2460812,4.5,321,1,0822-4257-7617,,False,0,11:00 - 22:00,"Monday: 11:00 AM – 10:00 PM
Tuesday: 11:00 AM – 10:00 PM
Wednesday: 11:00 AM – 10:00 PM
Thursday: 11:00 AM – 10:00 PM
Friday: 11:00 AM – 10:00 PM
Saturday: 11:00 AM – 10:00 PM
Sunday: 11:00 AM – 10:00 PM","This is a small cozy cafe restaurant. The food here is typical but delicious and importantly, cheap. This place has wifi which is also nice. Worked on my computer with a group of people for a few hours and it was very nice. Will most likely return in the future.",ChIJqaWR9PFeZS4RU-3XecXwvyE
AT NINE Coffee and Space,"Jl. Gelora Indah I, Mangunjaya, Purwokerto Lor, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53113, Indonesia",-7.419091399999999,109.2512297,4.7,285,0,0822-2512-8247,,False,0,08:00 - 00:00,"Monday: 8:00 AM – 12:00 AM
Tuesday: 8:00 AM – 12:00 AM
Wednesday: 8:00 AM – 12:00 AM
Thursday: 8:00 AM – 12:00 AM
Friday: 8:00 AM – 12:00 AM
Saturday: 8:00 AM – 12:00 AM
Sunday: 10:00 AM – 12:00 AM","I recently visited AT:NINE, hoping for a pleasant dining experience, but unfortunately, it left much to be desired.

From the start, the service was disappointing. The order taker seemed rude and impatient, constantly asking, ""Anything else?"" in a rushed tone. It felt like they wanted us to place our order as quickly as possible, leaving no room for us to make decisions at a comfortable pace. To make things worse, there were no waiters to deliver the drinks to the table, which felt like a letdown for the price we were paying.

Given the service and overall experience, the food did not feel worth the price. While the menu might look appealing, the actual value of the meal fell short of expectations.

The place itself is nice, with modern décor and a good layout. However, the air conditioning was poorly managed. Even though it was supposedly set to 16°C, it felt closer to 30°C inside, making the environment uncomfortable.",ChIJPSNEk8JfZS4R203WrEYw-r4
NAMA Coffee & Eatery,"Jl. Gerilya Timur No.35, Kruwet, Teluk, Kec. Purwokerto Sel., Kabupaten Banyumas, Jawa Tengah 53145, Indonesia",-7.4386618,109.2487566,4.7,252,0,0812-2971-4047,,False,0,09:00 - 22:00,"Monday: 9:00 AM – 10:00 PM
Tuesday: 9:00 AM – 10:00 PM
Wednesday: 9:00 AM – 10:00 PM
Thursday: 9:00 AM – 10:00 PM
Friday: 9:00 AM – 10:00 PM
Saturday: 9:00 AM – 11:00 PM
Sunday: 9:00 AM – 10:00 PM","Before heading back to Semarang, I had a chance to visit my very first Cafe here in Purwokerto.
Glad I did, coz the cafe's ambience is so cozy.
Could imagine just chillin here and doing some work😄

Staffs were friendly and the menu were all interesting and mouth watering.
Nasi Kuring was the main highlight fer sure, rice that is fragrant, fried chicken cooked perfectly,and the chilli...mmmm mmmmmmm good‼️

That and the Capucinno were both perfect companions to the day.

Would definitely return whenever I visit Purwokerto again👌🏻",ChIJhdaAMTNdZS4R5vBP0Y09Jwg
teras coffee & eatery,"Jl. Prof. Dr. Suharso No.49, Mangunjaya, Purwokerto Lor, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53114, Indonesia",-7.4173263,109.2494865,4.8,240,0,,,False,0,09:00 - 00:00,"Monday: 9:00 AM – 12:00 AM
Tuesday: 9:00 AM – 12:00 AM
Wednesday: 9:00 AM – 12:00 AM
Thursday: 9:00 AM – 12:00 AM
Friday: 9:00 AM – 12:00 AM
Saturday: 9:00 AM – 2:00 AM
Sunday: 9:00 AM – 12:00 AM","Girls out in Teras Kita cafe, the vibes was amazing, comfy and the food was great. Especally the rice bowl.
And also their service was friendly.",ChIJw5KtAwBfZS4RYnxuOh0l3UY
Mooraa steak & coffee,"Seberang hotel magnum, Jl. Suparjo Rustam No.17, Dusun II, Sokaraja Kulon, Kec. Sokaraja, Kabupaten Banyumas, Jawa Tengah 53146, Indonesia",-7.4518663,109.2816311,4.6,240,0,(0281) 6540832,,False,0,,,My favorite steak & coffee,ChIJo8YjGxhdZS4RGSyd6LsOWPU
Warkop Soeharto,"Jl. Gelora Indah I No.45, Mangunjaya, Purwokerto Lor, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53114, Indonesia",-7.420851099999999,109.2514291,4.6,231,0,,,False,0,09:00 - 00:00,"Monday: 9:00 AM – 12:00 AM
Tuesday: 9:00 AM – 12:00 AM
Wednesday: 9:00 AM – 12:00 AM
Thursday: 9:00 AM – 12:00 AM
Friday: 9:00 AM – 12:00 AM
Saturday: 9:00 AM – 12:00 AM
Sunday: 9:00 AM – 12:00 AM","an old school and vintage vibes brings you to the other experiences while hangout with your friend, best ambience, good dishes, and nice beverages.. thanks ! proves your services !",ChIJ-_HDNABfZS4RnnOgEuRr2Xs
Den Huis Coffee & Roastery,"Gg. Volly, Mangunjaya, Purwokerto Lor, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53114, Indonesia",-7.418685099999999,109.2489154,4.7,222,0,0858-5660-1820,https://instagram.com/denhuiscoffeeandroastery?igshid=YmMyMTA2M2Y=,False,0,08:00 - 22:00,"Monday: 8:00 AM – 10:00 PM
Tuesday: 8:00 AM – 10:00 PM
Wednesday: 8:00 AM – 10:00 PM
Thursday: 8:00 AM – 10:00 PM
Friday: 8:00 AM – 10:00 PM
Saturday: 8:00 AM – 10:00 PM
Sunday: 8:00 AM – 10:00 PM","Good coffee, nice ambience, fast wifi, good food. Price is affordable.
For lactose intolerant people you can order with oat milk to replace fresh milk.
A lot of board games like uno, cards, dart, guitar, etc.",ChIJh0dB-8ZfZS4RMzI9JNhhty0
Kopi Pemuda Purwokerto,"Jl. Pemuda No.51, Kober, Kec. Purwokerto Bar., Kabupaten Banyumas, Jawa Tengah 53132, Indonesia",-7.4188844,109.2235316,4.6,215,1,0813-2532-5250,,False,0,15:00 - 00:00,"Monday: 3:00 PM – 12:00 AM
Tuesday: 3:00 PM – 12:00 AM
Wednesday: 3:00 PM – 12:00 AM
Thursday: 3:00 PM – 12:00 AM
Friday: 3:00 PM – 12:00 AM
Saturday: 3:00 PM – 12:00 AM
Sunday: 3:00 PM – 12:00 AM","A homey coffee shop, located about 100 meters from Purwokerto Train Station. A house that looks pretty old and has been turned into a coffee shop with lots of seats in several rooms.
They serve coffee and noncoffee menu, as well as several types of light snacks. If you just got off the train, you can order online taxi from this coffee shop safely.",ChIJs52HCmheZS4RbVS0Za7uT-w
LYFE AND COFFEE,"Jl. Senopati, Dusun IV, Dukuhwaluh, Kec. Kembaran, Kabupaten Banyumas, Jawa Tengah 53182, Indonesia",-7.4141246,109.2671992,4.8,208,0,0821-1532-0848,http://www.instagram.com/lyfeandcoffee,False,0,,,"Nice place for hangout. Good vibes, cool people. Tasty signature beverages. Recommended!",ChIJVQmJ18leZS4RXNwqk-xd3Sc
New Fanny Home Snack Pattisarie & Coffee,"Ruko Jl. Ksatrian No.1, Karangkobar, Sokanegara, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53115, Indonesia",-7.416477299999999,109.2372502,4.6,205,0,(0281) 6577791,https://wa.me/6283862555000,False,0,07:00 - 22:00,"Monday: 7:00 AM – 10:00 PM
Tuesday: 7:00 AM – 10:00 PM
Wednesday: 7:00 AM – 10:00 PM
Thursday: 7:00 AM – 10:00 PM
Friday: 7:00 AM – 10:00 PM
Saturday: 7:00 AM – 10:00 PM
Sunday: 7:00 AM – 10:00 PM","Surely brings back my childhood memory. As one of the legendaries bakery in my town I was quite sad to found out the old one was closed, thought it was for good. So, thx for reopening with the new concept.
Surely brings back my childhood memory. As one of the legendaries bakery in my town I was quite sad to found out the old one was closed, thought it was for good. So, thx for reopening with the new concept.",ChIJkzReNvVeZS4RSBZBs3PLrGI
Loko Coffee Shop Purwokerto,"H6HC+QXM, Jl. Pemuda, Bantarsoka, Kober, Kec. Purwokerto Bar., Kabupaten Banyumas, Jawa Tengah 53132, Indonesia",-7.4205253,109.2224324,4.5,200,0,,https://instagram.com/lokocafe?igshid=OTJlNzQ0NWM=,False,0,,"Monday: 3:00 – 11:00 PM
Tuesday: 3:00 – 11:00 PM
Wednesday: 3:00 – 11:00 PM
Thursday: 3:00 – 11:00 PM
Friday: 3:00 – 11:00 PM
Saturday: 3:00 – 11:00 PM
Sunday: 3:00 – 11:00 PM","Comfortable place. Such a nice transit after a long train jurney. The menu is quite variative, there are snacks, beverages, and also food.
It is better to come in the evening or be there tk catch the sunset because there is a tribune and rooftop with proper seat to enjoy the sky. Unique things: train chairs and tables. I bet you can't find any in the other place but in the locomotive and Loko cafe.",ChIJnz6FQdFfZS4RfN4CqKNTUf8
My Story Cafe & Bistro Purwokerto,"Jl. S. Parman No.638, Kedungampel, Purwokerto Kulon, Kec. Purwokerto Sel., Kabupaten Banyumas, Jawa Tengah 53141, Indonesia",-7.436268,109.2448081,4.4,194,0,0877-4500-9287,https://www.instagram.com/mystory_purwokerto?igsh=MWo2MDhiNXNsaThkdA==,False,0,10:00 - 23:00,"Monday: 10:00 AM – 11:00 PM
Tuesday: 10:00 AM – 11:00 PM
Wednesday: 10:00 AM – 11:00 PM
Thursday: 10:00 AM – 11:00 PM
Friday: 10:00 AM – 11:00 PM
Saturday: 10:00 AM – 11:00 PM
Sunday: 10:00 AM – 11:00 PM","Hi, I am Zico.
I am going to review a café namely My Story Resto.

My Story Resto is located in Purwokerto.

It’s a modern and cozy café that serves various types of food and beverages.

This café is well known for its tasty food, friendly service, and affordable price.

The interior wall of this café is well and beautifully decorated with plants, warm lights, and wooden furniture.

My favorite spot is the corner seat near the window.

I recently dined there as my friend advised me to try this place.

For the appetizer, I ordered French fries.
It’s crispy and salty in a good way. It was delicious!

For the main course, I ordered grilled chicken with rice.
It’s juicy and flavorful. It was so good!

The ambience is truly relaxing and perfect for hanging out with friends.

Overall, I would really recommend My Story resto to anyone",ChIJjRMhs4VfZS4RBOElgvhZxIQ
